SampleID	Treatment	Treatment_no	Time	Species	Abundance	Count
CC02B	Control	1	1	Parabacteroides	0.001789798	34
CC02C	Control	1	2	Parabacteroides	0.002068167	44
CC02D	Control	1	3	Parabacteroides	0.003547777	73
CC03A	Control	1	0	Parabacteroides	0.00413514	46
CC03B	Control	1	1	Parabacteroides	0.002985615	32
CC03C	Control	1	2	Parabacteroides	0.004532578	46
CC03D	Control	1	3	Parabacteroides	0.00277491	40
CC04A	Control	1	0	Parabacteroides	0.012237068	163
CC04B	Control	1	1	Parabacteroides	0.003760577	64
CC04C	Control	1	2	Parabacteroides	0.0040483	51
CC04D	Control	1	3	Parabacteroides	0.002134679	33
CC05A	Control	1	0	Parabacteroides	0.015020627	422
CC05B	Control	1	1	Parabacteroides	0.002787241	25
CC05C	Control	1	2	Parabacteroides	0.003937226	55
CC05D	Control	1	3	Parabacteroides	0.002091708	58
CC06C	Control	1	2	Parabacteroides	0.002460244	58
CC06D	Control	1	3	Parabacteroides	0.002583557	75
CC07A	Control	1	0	Parabacteroides	0.003707723	41
CC07B	Control	1	1	Parabacteroides	0.006961824	148
CC07C	Control	1	2	Parabacteroides	0.003577042	66
CC07D	Control	1	3	Parabacteroides	0.003629257	32
CC08A	Control	1	0	Parabacteroides	0.001193317	7
CC08B	Control	1	1	Parabacteroides	0.002291189	40
CC08C	Control	1	2	Parabacteroides	0.002227972	29
CC08D	Control	1	3	Parabacteroides	0.002790179	28
CC09A	Control	1	0	Parabacteroides	0.006177136	136
CC09B	Control	1	1	Parabacteroides	0.004240946	105
CC09C	Control	1	2	Parabacteroides	0.002200099	36
CC09D	Control	1	3	Parabacteroides	0.007511737	90
CC10A	Control	1	0	Parabacteroides	0.00701535	88
CC11A	Control	1	0	Parabacteroides	0.006105353	84
CC11B	Control	1	1	Parabacteroides	0.001570997	35
CC11C	Control	1	2	Parabacteroides	0.001998728	22
CC11D	Control	1	3	Parabacteroides	0.002061584	47
CC12A	Control	1	0	Parabacteroides	0.000232693	2
CC12B	Control	1	1	Parabacteroides	0.001842469	16
CC12C	Control	1	2	Parabacteroides	0.00198334	13
CC12D	Control	1	3	Parabacteroides	0.002676463	51
CC13A	Treatment	2	0	Parabacteroides	0.00465587	35
CC13B	Treatment	2	1	Parabacteroides	0.002801462	21
CC13C	Treatment	2	2	Parabacteroides	0.002956795	49
CC13D	Treatment	2	3	Parabacteroides	0.00656826	86
CC14A	Treatment	2	0	Parabacteroides	0.012307363	216
CC14B	Treatment	2	1	Parabacteroides	0.002722627	60
CC14C	Treatment	2	2	Parabacteroides	0.005403998	81
CC14D	Treatment	2	3	Parabacteroides	0.005654762	142
CC15A	Treatment	2	0	Parabacteroides	0.004974506	78
CC15B	Treatment	2	1	Parabacteroides	0.002843184	61
CC15C	Treatment	2	2	Parabacteroides	0.002168133	50
CC15D	Treatment	2	3	Parabacteroides	0.004291251	90
CC16A	Treatment	2	0	Parabacteroides	0.004787601	106
CC16B	Treatment	2	1	Parabacteroides	0.003953526	81
CC16C	Treatment	2	2	Parabacteroides	0.002579694	13
CC16D	Treatment	2	3	Parabacteroides	0.00437469	94
CC17A	Treatment	2	0	Parabacteroides	0.013662272	296
CC17B	Treatment	2	1	Parabacteroides	0.002527044	43
CC17C	Treatment	2	2	Parabacteroides	0.003691127	72
CC17D	Treatment	2	3	Parabacteroides	0.003663004	35
CC18A	Treatment	2	0	Parabacteroides	0.027159686	331
CC18C	Treatment	2	2	Parabacteroides	0.006580161	103
CC18D	Treatment	2	3	Parabacteroides	0.008475794	107
CC19A	Treatment	2	0	Parabacteroides	0.007321703	150
CC19B	Treatment	2	1	Parabacteroides	0.006097998	80
CC19C	Treatment	2	2	Parabacteroides	0.002375297	17
CC19D	Treatment	2	3	Parabacteroides	0.005477308	104
CC20A	Treatment	2	0	Parabacteroides	0.007327336	97
CC20B	Treatment	2	1	Parabacteroides	0.002763618	38
CC20C	Treatment	2	2	Parabacteroides	0.004724409	125
CC20D	Treatment	2	3	Parabacteroides	0.006800885	116
CC21A	Treatment	2	0	Parabacteroides	0.00713576	68
CC21B	Treatment	2	1	Parabacteroides	0.005655376	73
CC21C	Treatment	2	2	Parabacteroides	0.004141358	52
CC21D	Treatment	2	3	Parabacteroides	0.003360538	41
CC22A	Treatment	2	0	Parabacteroides	0.003933348	47
CC22B	Treatment	2	1	Parabacteroides	0.006546524	87
CC22C	Treatment	2	2	Parabacteroides	0.00596498	31
CC22D	Treatment	2	3	Parabacteroides	0.003594278	46
CC23A	Treatment	2	0	Parabacteroides	0.004296875	26
CC23B	Treatment	2	1	Parabacteroides	0.003890657	70
CC23C	Treatment	2	2	Parabacteroides	0.003375614	28
CC23D	Treatment	2	3	Parabacteroides	0.002668289	50
CC24A	Treatment	2	0	Parabacteroides	0.012193883	118
CC24B	Treatment	2	1	Parabacteroides	0.020809542	313
CC24D	Treatment	2	3	Parabacteroides	0.006534205	93
CC01A	Control	1	0	Victivallaceae	0	0
CC01B	Control	1	1	Victivallaceae	0	0
CC01C	Control	1	2	Victivallaceae	0	0
CC01D	Control	1	3	Victivallaceae	0	0
CC02A	Control	1	0	Victivallaceae	3.63E-05	1
CC02B	Control	1	1	Victivallaceae	0	0
CC02C	Control	1	2	Victivallaceae	0	0
CC02D	Control	1	3	Victivallaceae	4.73E-05	1
CC03A	Control	1	0	Victivallaceae	0	0
CC03B	Control	1	1	Victivallaceae	0	0
CC03C	Control	1	2	Victivallaceae	0	0
CC03D	Control	1	3	Victivallaceae	0	0
CC04A	Control	1	0	Victivallaceae	0	0
CC04B	Control	1	1	Victivallaceae	0	0
CC04C	Control	1	2	Victivallaceae	0	0
CC04D	Control	1	3	Victivallaceae	0	0
CC05A	Control	1	0	Victivallaceae	0	0
CC05B	Control	1	1	Victivallaceae	0	0
CC05C	Control	1	2	Victivallaceae	0	0
CC05D	Control	1	3	Victivallaceae	0	0
CC06C	Control	1	2	Victivallaceae	7.13E-05	1
CC06D	Control	1	3	Victivallaceae	0.000130813	4
CC07A	Control	1	0	Victivallaceae	0	0
CC07B	Control	1	1	Victivallaceae	0	0
CC07C	Control	1	2	Victivallaceae	0	0
CC07D	Control	1	3	Victivallaceae	0	0
CC08A	Control	1	0	Victivallaceae	0	0
CC08B	Control	1	1	Victivallaceae	0	0
CC08C	Control	1	2	Victivallaceae	0	0
CC08D	Control	1	3	Victivallaceae	0.000279018	3
CC09A	Control	1	0	Victivallaceae	0	0
