SampleID	Treatment	Treatment_no	Time	Species	Abundance	Count
CC19B	Treatment	2	1	Eubacterium	0	24
CC19C	Treatment	2	2	Eubacterium	0	8
CC19D	Treatment	2	3	Eubacterium	0	97
CC20A	Treatment	2	0	Eubacterium	0.000290192	155
CC20B	Treatment	2	1	Eubacterium	0.000122827	38
CC20C	Treatment	2	2	Eubacterium	3.58E-05	207
CC20D	Treatment	2	3	Eubacterium	0.000107951	23
CC21A	Treatment	2	0	Eubacterium	9.03E-05	12
CC21B	Treatment	2	1	Eubacterium	0	13
CC21C	Treatment	2	2	Eubacterium	6.90E-05	14
CC21D	Treatment	2	3	Eubacterium	0	12
CC22A	Treatment	2	0	Eubacterium	7.15E-05	1227
CC22B	Treatment	2	1	Eubacterium	0	124
CC22C	Treatment	2	2	Eubacterium	0	205
CC22D	Treatment	2	3	Eubacterium	0	305
CC23A	Treatment	2	0	Eubacterium	0.000130208	365
CC23B	Treatment	2	1	Eubacterium	0	811
CC23C	Treatment	2	2	Eubacterium	0	569
CC23D	Treatment	2	3	Eubacterium	4.68E-05	1252
CC24A	Treatment	2	0	Eubacterium	0.000203231	320
CC24B	Treatment	2	1	Eubacterium	0.000190331	6
CC24D	Treatment	2	3	Eubacterium	0.000200027	37
CC01A	Control	1	0	Barnesiellaceae	0.001143913	7
CC01B	Control	1	1	Barnesiellaceae	0.000301773	13
CC01C	Control	1	2	Barnesiellaceae	0.000456889	4
CC01D	Control	1	3	Barnesiellaceae	4.73E-05	19
CC02A	Control	1	0	Barnesiellaceae	0.00170401	8
CC02B	Control	1	1	Barnesiellaceae	0.000248583	65
CC02C	Control	1	2	Barnesiellaceae	0.00111681	84
CC02D	Control	1	3	Barnesiellaceae	9.46E-05	4
CC03A	Control	1	0	Barnesiellaceae	0.001319725	4
CC03B	Control	1	1	Barnesiellaceae	0.000452366	11
CC03C	Control	1	2	Barnesiellaceae	0.000377715	9
CC03D	Control	1	3	Barnesiellaceae	0.000193598	38
CC04A	Control	1	0	Barnesiellaceae	0.000859902	11
CC04B	Control	1	1	Barnesiellaceae	5.22E-05	5
CC04C	Control	1	2	Barnesiellaceae	0.000209395	7
CC04D	Control	1	3	Barnesiellaceae	6.47E-05	20
CC05A	Control	1	0	Barnesiellaceae	0.003843306	5
CC05B	Control	1	1	Barnesiellaceae	0.000722618	5
CC05C	Control	1	2	Barnesiellaceae	0.001552709	57
CC05D	Control	1	3	Barnesiellaceae	0.000424878	26
CC06C	Control	1	2	Barnesiellaceae	0.000534836	106
CC06D	Control	1	3	Barnesiellaceae	0.000359736	10
CC07A	Control	1	0	Barnesiellaceae	0	1
CC07B	Control	1	1	Barnesiellaceae	9.10E-05	7
CC07C	Control	1	2	Barnesiellaceae	5.42E-05	8
CC07D	Control	1	3	Barnesiellaceae	9.31E-05	6
CC08A	Control	1	0	Barnesiellaceae	0	0
CC08B	Control	1	1	Barnesiellaceae	0.000156217	54
CC08C	Control	1	2	Barnesiellaceae	0.00021561	106
CC08D	Control	1	3	Barnesiellaceae	0.00046503	10
CC09A	Control	1	0	Barnesiellaceae	0.000565512	15
CC09B	Control	1	1	Barnesiellaceae	0.000150122	153
CC09C	Control	1	2	Barnesiellaceae	0.000275012	25
CC09D	Control	1	3	Barnesiellaceae	0.005868545	8
CC10A	Control	1	0	Barnesiellaceae	0.000486212	5
CC11A	Control	1	0	Barnesiellaceae	0.00085191	4
CC11B	Control	1	1	Barnesiellaceae	0.000362538	26
CC11C	Control	1	2	Barnesiellaceae	0.000272554	8
CC11D	Control	1	3	Barnesiellaceae	0.000307044	18
CC12A	Control	1	0	Barnesiellaceae	0.0336242	1
CC12B	Control	1	1	Barnesiellaceae	0.00027637	17
CC12C	Control	1	2	Barnesiellaceae	0.000132223	9
CC12D	Control	1	3	Barnesiellaceae	0.000367358	6
CC13A	Treatment	2	0	Barnesiellaceae	0.000404858	15
CC13B	Treatment	2	1	Barnesiellaceae	0.000487211	30
CC13C	Treatment	2	2	Barnesiellaceae	0.000362056	15
CC13D	Treatment	2	3	Barnesiellaceae	0.000847517	18
CC14A	Treatment	2	0	Barnesiellaceae	0.000802654	4
CC14B	Treatment	2	1	Barnesiellaceae	0.00146603	8
CC14C	Treatment	2	2	Barnesiellaceae	0.000325542	2
CC14D	Treatment	2	3	Barnesiellaceae	0.000372024	16
CC15A	Treatment	2	0	Barnesiellaceae	0	2
CC15B	Treatment	2	1	Barnesiellaceae	0.000240269	46
CC15C	Treatment	2	2	Barnesiellaceae	0.000122724	19
CC15D	Treatment	2	3	Barnesiellaceae	0.000322997	9
CC16A	Treatment	2	0	Barnesiellaceae	0.000365156	37
CC16B	Treatment	2	1	Barnesiellaceae	0.001169921	19
CC16C	Treatment	2	2	Barnesiellaceae	0.000921319	3
CC16D	Treatment	2	3	Barnesiellaceae	0.000992198	8
CC17A	Treatment	2	0	Barnesiellaceae	0.001740417	8
CC17B	Treatment	2	1	Barnesiellaceae	0.000399007	19
CC17C	Treatment	2	2	Barnesiellaceae	9.84E-05	11
CC17D	Treatment	2	3	Barnesiellaceae	0.000457875	5
CC18A	Treatment	2	0	Barnesiellaceae	0.007853403	3
CC18C	Treatment	2	2	Barnesiellaceae	0.000614968	5
CC18D	Treatment	2	3	Barnesiellaceae	0.000287315	10
CC19A	Treatment	2	0	Barnesiellaceae	9.04E-05	4
CC19B	Treatment	2	1	Barnesiellaceae	0.00186527	4
CC19C	Treatment	2	2	Barnesiellaceae	0.000113109	21
CC19D	Treatment	2	3	Barnesiellaceae	9.78E-05	9
CC20A	Treatment	2	0	Barnesiellaceae	0.003119559	5
CC20B	Treatment	2	1	Barnesiellaceae	0.001658171	10
CC20C	Treatment	2	2	Barnesiellaceae	0.001431639	14
CC20D	Treatment	2	3	Barnesiellaceae	0.001295407	15
CC21A	Treatment	2	0	Barnesiellaceae	0.00045163	3
CC21B	Treatment	2	1	Barnesiellaceae	0.000648012	12
CC21C	Treatment	2	2	Barnesiellaceae	0.000414136	8
CC21D	Treatment	2	3	Barnesiellaceae	6.86E-05	5
CC22A	Treatment	2	0	Barnesiellaceae	0.002073947	49
CC22B	Treatment	2	1	Barnesiellaceae	0.000809121	3
CC22C	Treatment	2	2	Barnesiellaceae	0.002886281	1
CC22D	Treatment	2	3	Barnesiellaceae	0.00129394	31
CC23A	Treatment	2	0	Barnesiellaceae	0.000520833	27
CC23B	Treatment	2	1	Barnesiellaceae	0.000656864	12
CC23C	Treatment	2	2	Barnesiellaceae	0	37
CC23D	Treatment	2	3	Barnesiellaceae	0.000187248	18
CC24A	Treatment	2	0	Barnesiellaceae	0.010669647	1
CC24B	Treatment	2	1	Barnesiellaceae	0.002664636	4
CC24D	Treatment	2	3	Barnesiellaceae	0.00180024	14
CC01A	Control	1	0	Peptostreptococcaceae	0.014782877	85
CC01B	Control	1	1	Peptostreptococcaceae	0.003923048	16
CC01C	Control	1	2	Peptostreptococcaceae	0.010769532	2
CC01D	Control	1	3	Peptostreptococcaceae	0.002509232	23
CC02A	Control	1	0	Peptostreptococcaceae	0.016206221	1
CC02B	Control	1	1	Peptostreptococcaceae	0.004822512	0
CC02C	Control	1	2	Peptostreptococcaceae	0.003143614	10
CC02D	Control	1	3	Peptostreptococcaceae	0.002459792	337
CC03A	Control	1	0	Peptostreptococcaceae	0.01293331	9
CC03B	Control	1	1	Peptostreptococcaceae	0.056183841	83
CC03C	Control	1	2	Peptostreptococcaceae	0.029556185	160
CC03D	Control	1	3	Peptostreptococcaceae	0.0312984	212
CC04A	Control	1	0	Peptostreptococcaceae	0.006879217	33
CC04B	Control	1	1	Peptostreptococcaceae	0.012900867	104
CC04C	Control	1	2	Peptostreptococcaceae	0.011446918	145
CC04D	Control	1	3	Peptostreptococcaceae	0.025680833	245
CC05A	Control	1	0	Peptostreptococcaceae	0.001657205	87
CC05B	Control	1	1	Peptostreptococcaceae	0.004232477	28
CC05C	Control	1	2	Peptostreptococcaceae	0.022070648	22
CC05D	Control	1	3	Peptostreptococcaceae	0.015916593	200
CC06C	Control	1	2	Peptostreptococcaceae	0.005384012	8
CC06D	Control	1	3	Peptostreptococcaceae	0.000882988	10
CC07A	Control	1	0	Peptostreptococcaceae	0.023783686	77
CC07B	Control	1	1	Peptostreptococcaceae	0.021841016	41
CC07C	Control	1	2	Peptostreptococcaceae	0.010947916	24
CC07D	Control	1	3	Peptostreptococcaceae	0.003257026	32
CC08A	Control	1	0	Peptostreptococcaceae	0.001325908	0
CC08B	Control	1	1	Peptostreptococcaceae	0.05972714	26
CC08C	Control	1	2	Peptostreptococcaceae	0.005749605	20
CC08D	Control	1	3	Peptostreptococcaceae	0.028180804	53
CC09A	Control	1	0	Peptostreptococcaceae	0.011484253	77
CC09B	Control	1	1	Peptostreptococcaceae	0.029836742	133
CC09C	Control	1	2	Peptostreptococcaceae	0.060282713	9
CC09D	Control	1	3	Peptostreptococcaceae	0.005086072	2
CC10A	Control	1	0	Peptostreptococcaceae	0.006181843	231
CC11A	Control	1	0	Peptostreptococcaceae	0.024208434	18
CC11B	Control	1	1	Peptostreptococcaceae	0.02102719	21
CC11C	Control	1	2	Peptostreptococcaceae	0.039429454	146
CC11D	Control	1	3	Peptostreptococcaceae	0.023993333	4
CC12A	Control	1	0	Peptostreptococcaceae	0.020477022	0
CC12B	Control	1	1	Peptostreptococcaceae	0.015845233	12
CC12C	Control	1	2	Peptostreptococcaceae	0.042840143	21
CC12D	Control	1	3	Peptostreptococcaceae	0.012700079	8
CC13A	Treatment	2	0	Peptostreptococcaceae	0.01437247	15
CC13B	Treatment	2	1	Peptostreptococcaceae	0.017904994	12
CC13C	Treatment	2	2	Peptostreptococcaceae	0.059015206	177
CC13D	Treatment	2	3	Peptostreptococcaceae	0.052969843	84
CC14A	Treatment	2	0	Peptostreptococcaceae	0.00192637	62
CC14B	Treatment	2	1	Peptostreptococcaceae	0.000418866	43
CC14C	Treatment	2	2	Peptostreptococcaceae	0.000846409	63
CC14D	Treatment	2	3	Peptostreptococcaceae	0.02016369	188
CC15A	Treatment	2	0	Peptostreptococcaceae	0.000808357	1
CC15B	Treatment	2	1	Peptostreptococcaceae	0.000760852	2
CC15C	Treatment	2	2	Peptostreptococcaceae	0.011208836	202
CC15D	Treatment	2	3	Peptostreptococcaceae	0.003552972	28
CC16A	Treatment	2	0	Peptostreptococcaceae	0.029090762	229
CC16B	Treatment	2	1	Peptostreptococcaceae	0.006131999	56
CC16C	Treatment	2	2	Peptostreptococcaceae	0.001474111	45
CC16D	Treatment	2	3	Peptostreptococcaceae	0.006268886	127
CC17A	Treatment	2	0	Peptostreptococcaceae	0.004394552	40
CC17B	Treatment	2	1	Peptostreptococcaceae	0.00270438	143
CC17C	Treatment	2	2	Peptostreptococcaceae	0.007972833	432
CC17D	Treatment	2	3	Peptostreptococcaceae	0.003571429	52
CC18A	Treatment	2	0	Peptostreptococcaceae	0.046547775	57
CC18C	Treatment	2	2	Peptostreptococcaceae	0.000676465	42
CC18D	Treatment	2	3	Peptostreptococcaceae	0.005099842	182
CC19A	Treatment	2	0	Peptostreptococcaceae	0.001853024	24
CC19B	Treatment	2	1	Peptostreptococcaceae	0.001721788	8
CC19C	Treatment	2	2	Peptostreptococcaceae	0.001131094	124
CC19D	Treatment	2	3	Peptostreptococcaceae	0.004841549	384
CC20A	Treatment	2	0	Peptostreptococcaceae	0.011535113	418
CC20B	Treatment	2	1	Peptostreptococcaceae	0.002395136	59
CC20C	Treatment	2	2	Peptostreptococcaceae	0.007766643	145
CC20D	Treatment	2	3	Peptostreptococcaceae	0.001565283	122
CC21A	Treatment	2	0	Peptostreptococcaceae	0.001083913	4
CC21B	Treatment	2	1	Peptostreptococcaceae	0.000824742	5
CC21C	Treatment	2	2	Peptostreptococcaceae	0.00103534	39
CC21D	Treatment	2	3	Peptostreptococcaceae	0.000822989	11
CC22A	Treatment	2	0	Peptostreptococcaceae	0.089537295	137
CC22B	Treatment	2	1	Peptostreptococcaceae	0.009194557	34
CC22C	Treatment	2	2	Peptostreptococcaceae	0.039638253	14
CC22D	Treatment	2	3	Peptostreptococcaceae	0.022356409	122
CC23A	Treatment	2	0	Peptostreptococcaceae	0.047786458	36
CC23B	Treatment	2	1	Peptostreptococcaceae	0.041180334	334
CC23C	Treatment	2	2	Peptostreptococcaceae	0.058510638	294
CC23D	Treatment	2	3	Peptostreptococcaceae	0.058842805	11
CC24A	Treatment	2	0	Peptostreptococcaceae	0.032720252	26
CC24B	Treatment	2	1	Peptostreptococcaceae	0.000380662	24
CC24D	Treatment	2	3	Peptostreptococcaceae	0.002600347	306
CC01A	Control	1	0	Clostridiales	0.00079194	56
CC01B	Control	1	1	Clostridiales	0.003621275	27
CC01C	Control	1	2	Clostridiales	0.001109588	10
CC01D	Control	1	3	Clostridiales	0.001846416	16
CC02A	Control	1	0	Clostridiales	0.000471322	14
CC02B	Control	1	1	Clostridiales	0.003927613	19
CC02C	Control	1	2	Clostridiales	0.004756784	36
CC02D	Control	1	3	Clostridiales	0.0012772	25
CC03A	Control	1	0	Clostridiales	0.000615872	14
CC03B	Control	1	1	Clostridiales	0.002352303	25
CC03C	Control	1	2	Clostridiales	0.001888574	207
CC03D	Control	1	3	Clostridiales	0.00348477	301
CC04A	Control	1	0	Clostridiales	0.001719804	20
CC04B	Control	1	1	Clostridiales	0.001723598	29
CC04C	Control	1	2	Clostridiales	0.002093948	15
CC04D	Control	1	3	Clostridiales	0.002199366	10
CC05A	Control	1	0	Clostridiales	0.000493636	30
CC05B	Control	1	1	Clostridiales	0.002684009	10
CC05C	Control	1	2	Clostridiales	0.005878112	95
CC05D	Control	1	3	Clostridiales	0.001895611	44
CC06C	Control	1	2	Clostridiales	0.004492619	64
CC06D	Control	1	3	Clostridiales	0.000457846	4
CC07A	Control	1	0	Clostridiales	0.000542594	14
CC07B	Control	1	1	Clostridiales	0.00172908	35
CC07C	Control	1	2	Clostridiales	0.000975557	27
CC07D	Control	1	3	Clostridiales	0.001116695	6
CC08A	Control	1	0	Clostridiales	0.000132591	27
CC08B	Control	1	1	Clostridiales	0.004217871	350
CC08C	Control	1	2	Clostridiales	0.009199368	33
CC08D	Control	1	3	Clostridiales	0.001767113	164
CC09A	Control	1	0	Clostridiales	0.001218027	31
CC09B	Control	1	1	Clostridiales	0.007130794	133
CC09C	Control	1	2	Clostridiales	0.002475111	39
CC09D	Control	1	3	Clostridiales	0.001017214	13
CC10A	Control	1	0	Clostridiales	0.001041884	15
CC11A	Control	1	0	Clostridiales	0.001064887	540
CC11B	Control	1	1	Clostridiales	0.003021148	192
CC11C	Control	1	2	Clostridiales	0.001998728	851
CC11D	Control	1	3	Clostridiales	0.001666813	945
CC12A	Control	1	0	Clostridiales	0.000116347	5
CC12B	Control	1	1	Clostridiales	0.003684938	298
CC12C	Control	1	2	Clostridiales	0.00198334	419
CC12D	Control	1	3	Clostridiales	0.001364471	18
CC13A	Treatment	2	0	Clostridiales	0.007591093	42
CC13B	Treatment	2	1	Clostridiales	0.007551766	32
CC13C	Treatment	2	2	Clostridiales	0.001568911	325
CC13D	Treatment	2	3	Clostridiales	0.00218942	277
CC14A	Treatment	2	0	Clostridiales	0.000695634	24
CC14B	Treatment	2	1	Clostridiales	0.000502639	10
CC14C	Treatment	2	2	Clostridiales	0.000325542	69
CC14D	Treatment	2	3	Clostridiales	0.001822917	47
CC15A	Treatment	2	0	Clostridiales	0.000186544	2
CC15B	Treatment	2	1	Clostridiales	0.002202467	4
CC15C	Treatment	2	2	Clostridiales	0.001309061	29
CC15D	Treatment	2	3	Clostridiales	0.000784422	17
CC16A	Treatment	2	0	Clostridiales	0.003408123	62
CC16B	Treatment	2	1	Clostridiales	0.002138131	30
CC16C	Treatment	2	2	Clostridiales	0.001474111	5
CC16D	Treatment	2	3	Clostridiales	0.001127497	21
CC17A	Treatment	2	0	Clostridiales	0.000739677	20
CC17B	Treatment	2	1	Clostridiales	0.002438376	20
CC17C	Treatment	2	2	Clostridiales	0.001574881	27
CC17D	Treatment	2	3	Clostridiales	0.002472527	7
CC18A	Treatment	2	0	Clostridiales	0.000327225	6
CC18C	Treatment	2	2	Clostridiales	0.000737962	11
CC18D	Treatment	2	3	Clostridiales	0.002514007	18
CC19A	Treatment	2	0	Clostridiales	0.00094911	30
CC19B	Treatment	2	1	Clostridiales	0.00064567	8
CC19C	Treatment	2	2	Clostridiales	0.005994797	11
CC19D	Treatment	2	3	Clostridiales	0.001662754	27
CC20A	Treatment	2	0	Clostridiales	0.000798027	22
CC20B	Treatment	2	1	Clostridiales	0.002088067	18
CC20C	Treatment	2	2	Clostridiales	0.001181102	40
CC20D	Treatment	2	3	Clostridiales	0.001187456	25
CC21A	Treatment	2	0	Clostridiales	0.000632283	7
CC21B	Treatment	2	1	Clostridiales	0.001413844	10
CC21C	Treatment	2	2	Clostridiales	0.000966317	6
CC21D	Treatment	2	3	Clostridiales	0.000822989	4
CC22A	Treatment	2	0	Clostridiales	0.006936995	108
CC22B	Treatment	2	1	Clostridiales	0.000514895	226
CC22C	Treatment	2	2	Clostridiales	0.000192419	428
CC22D	Treatment	2	3	Clostridiales	0.004672561	996
CC23A	Treatment	2	0	Clostridiales	0.005859375	10
CC23B	Treatment	2	1	Clostridiales	0.002576929	38
CC23C	Treatment	2	2	Clostridiales	0.006648936	69
CC23D	Treatment	2	3	Clostridiales	0.001451175	23
CC24A	Treatment	2	0	Clostridiales	0.000203231	11
CC24B	Treatment	2	1	Clostridiales	0.000570994	9
CC24D	Treatment	2	3	Clostridiales	0.001733564	16
CC01A	Control	1	0	Methanosphaera	0.003739716	1412
CC01B	Control	1	1	Methanosphaera	0.001207092	617
CC01C	Control	1	2	Methanosphaera	0.00013054	525
CC01D	Control	1	3	Methanosphaera	0.001088912	1459
CC02A	Control	1	0	Methanosphaera	3.63E-05	1418
CC02B	Control	1	1	Methanosphaera	0	1342
CC02C	Control	1	2	Methanosphaera	0.000413633	679
CC02D	Control	1	3	Methanosphaera	0.015941343	794
CC03A	Control	1	0	Methanosphaera	0.000791835	1123
CC03B	Control	1	1	Methanosphaera	0.007599747	394
CC03C	Control	1	2	Methanosphaera	0.01529745	482
CC03D	Control	1	3	Methanosphaera	0.013745483	812
CC04A	Control	1	0	Methanosphaera	0.002315121	2167
CC04B	Control	1	1	Methanosphaera	0.005431944	834
CC04C	Control	1	2	Methanosphaera	0.010120751	1127
CC04D	Control	1	3	Methanosphaera	0.016042435	722
CC05A	Control	1	0	Methanosphaera	0.003067593	1574
CC05B	Control	1	1	Methanosphaera	0.002993703	484
CC05C	Control	1	2	Methanosphaera	0.001219986	531
CC05D	Control	1	3	Methanosphaera	0.006601954	1084
CC06C	Control	1	2	Methanosphaera	0.000285246	936
CC06D	Control	1	3	Methanosphaera	0.000327033	1157
CC07A	Control	1	0	Methanosphaera	0.006963284	848
CC07B	Control	1	1	Methanosphaera	0.001911089	2735
CC07C	Control	1	2	Methanosphaera	0.001300743	524
CC07D	Control	1	3	Methanosphaera	0.002977852	270
CC08A	Control	1	0	Methanosphaera	0	658
CC08B	Control	1	1	Methanosphaera	0.00145803	981
CC08C	Control	1	2	Methanosphaera	0.001509271	548
CC08D	Control	1	3	Methanosphaera	0.004929315	421
CC09A	Control	1	0	Methanosphaera	0.003349574	1630
CC09B	Control	1	1	Methanosphaera	0.005029086	881
CC09C	Control	1	2	Methanosphaera	0.000495022	980
CC09D	Control	1	3	Methanosphaera	0.000156495	473
CC10A	Control	1	0	Methanosphaera	0.016114468	1602
CC11A	Control	1	0	Methanosphaera	0.001277865	1199
CC11B	Control	1	1	Methanosphaera	0.000845921	524
CC11C	Control	1	2	Methanosphaera	0.013355138	416
CC11D	Control	1	3	Methanosphaera	0.000175454	1070
CC12A	Control	1	0	Methanosphaera	0	576
CC12B	Control	1	1	Methanosphaera	0.001105481	637
CC12C	Control	1	2	Methanosphaera	0.002776676	331
CC12D	Control	1	3	Methanosphaera	0.000419837	506
CC13A	Treatment	2	0	Methanosphaera	0.001518219	273
CC13B	Treatment	2	1	Methanosphaera	0.001705238	340
CC13C	Treatment	2	2	Methanosphaera	0.010680666	346
CC13D	Treatment	2	3	Methanosphaera	0.006003249	1478
CC14A	Treatment	2	0	Methanosphaera	0.003317637	2409
CC14B	Treatment	2	1	Methanosphaera	0.001884896	591
CC14C	Treatment	2	2	Methanosphaera	0.00410183	602
CC14D	Treatment	2	3	Methanosphaera	0.006994048	1954
CC15A	Treatment	2	0	Methanosphaera	6.22E-05	1241
CC15B	Treatment	2	1	Methanosphaera	8.01E-05	493
CC15C	Treatment	2	2	Methanosphaera	0.008386173	538
CC15D	Treatment	2	3	Methanosphaera	0.00129199	603
CC16A	Treatment	2	0	Methanosphaera	0.009331765	2501
CC16B	Treatment	2	1	Methanosphaera	0.0022995	1662
CC16C	Treatment	2	2	Methanosphaera	0.008291874	143
CC16D	Treatment	2	3	Methanosphaera	0.005772787	986
CC17A	Treatment	2	0	Methanosphaera	0.001740417	2293
CC17B	Treatment	2	1	Methanosphaera	0.006472779	2264
CC17C	Treatment	2	2	Methanosphaera	0.021359319	1264
CC17D	Treatment	2	3	Methanosphaera	0.004761905	528
CC18A	Treatment	2	0	Methanosphaera	0.004662958	2128
CC18C	Treatment	2	2	Methanosphaera	0.002644364	811
CC18D	Treatment	2	3	Methanosphaera	0.013144663	847
CC19A	Treatment	2	0	Methanosphaera	0.001084697	1020
CC19B	Treatment	2	1	Methanosphaera	0.000573929	661
CC19C	Treatment	2	2	Methanosphaera	0.014025563	615
CC19D	Treatment	2	3	Methanosphaera	0.018779343	2595
CC20A	Treatment	2	0	Methanosphaera	0.030325015	941
CC20B	Treatment	2	1	Methanosphaera	0.003684825	715
CC20C	Treatment	2	2	Methanosphaera	0.005225483	1938
CC20D	Treatment	2	3	Methanosphaera	0.006584984	1291
CC21A	Treatment	2	0	Methanosphaera	0.000361304	1067
CC21B	Treatment	2	1	Methanosphaera	0.000294551	515
CC21C	Treatment	2	2	Methanosphaera	0.002898951	438
CC21D	Treatment	2	3	Methanosphaera	0.000754406	621
CC22A	Treatment	2	0	Methanosphaera	0.009797611	761
CC22B	Treatment	2	1	Methanosphaera	0.002500919	694
CC22C	Treatment	2	2	Methanosphaera	0.002693862	291
CC22D	Treatment	2	3	Methanosphaera	0.008770038	839
CC23A	Treatment	2	0	Methanosphaera	0.0046875	469
CC23B	Treatment	2	1	Methanosphaera	0.016926886	1383
CC23C	Treatment	2	2	Methanosphaera	0.030380524	690
CC23D	Treatment	2	3	Methanosphaera	0.000514933	1725
CC24A	Treatment	2	0	Methanosphaera	0.002642008	759
CC24B	Treatment	2	1	Methanosphaera	0.001522649	1881
CC24D	Treatment	2	3	Methanosphaera	0.02040272	1021
CC01A	Control	1	0	Clostridiaceae	0.002551806	641
CC01B	Control	1	1	Clostridiaceae	0.002263297	3
CC01C	Control	1	2	Clostridiaceae	0.000913778	4
CC01D	Control	1	3	Clostridiaceae	0.001088912	63
CC02A	Control	1	0	Clostridiaceae	0.000580088	106
CC02B	Control	1	1	Clostridiaceae	0.000944616	5
CC02C	Control	1	2	Clostridiaceae	0.001944077	40
CC02D	Control	1	3	Clostridiaceae	0.001324503	45
CC03A	Control	1	0	Clostridiaceae	0.001495689	33
CC03B	Control	1	1	Clostridiaceae	0.002985615	2
CC03C	Control	1	2	Clostridiaceae	0.020207743	3
CC03D	Control	1	3	Clostridiaceae	0.020198761	14
CC04A	Control	1	0	Clostridiaceae	0.001587512	541
CC04B	Control	1	1	Clostridiaceae	0.001880288	116
CC04C	Control	1	2	Clostridiaceae	0.001465764	19
CC04D	Control	1	3	Clostridiaceae	0.00116437	28
CC05A	Control	1	0	Clostridiaceae	0.00116357	551
CC05B	Control	1	1	Clostridiaceae	0.001651698	4
CC05C	Control	1	2	Clostridiaceae	0.00798536	103
CC05D	Control	1	3	Clostridiaceae	0.001732196	6
CC06C	Control	1	2	Clostridiaceae	0.002674178	128
CC06D	Control	1	3	Clostridiaceae	0.000228923	323
CC07A	Control	1	0	Clostridiaceae	0.001266052	237
CC07B	Control	1	1	Clostridiaceae	0.002002093	29
CC07C	Control	1	2	Clostridiaceae	0.001951114	598
CC07D	Control	1	3	Clostridiaceae	0.000744463	295
CC08A	Control	1	0	Clostridiaceae	0.008750994	1
CC08B	Control	1	1	Clostridiaceae	0.019943762	11
CC08C	Control	1	2	Clostridiaceae	0.002587322	3
CC08D	Control	1	3	Clostridiaceae	0.015811012	7
CC09A	Control	1	0	Clostridiaceae	0.001696537	56
CC09B	Control	1	1	Clostridiaceae	0.005929818	46
CC09C	Control	1	2	Clostridiaceae	0.002585116	13
CC09D	Control	1	3	Clostridiaceae	0.001486698	348
CC10A	Control	1	0	Clostridiaceae	0.00125026	498
CC11A	Control	1	0	Clostridiaceae	0.039116854	6
CC11B	Control	1	1	Clostridiaceae	0.008660624	80
CC11C	Control	1	2	Clostridiaceae	0.081493595	5
CC11D	Control	1	3	Clostridiaceae	0.04303009	8
CC12A	Control	1	0	Clostridiaceae	0.000814427	4
CC12B	Control	1	1	Clostridiaceae	0.029479503	3
CC12C	Control	1	2	Clostridiaceae	0.058442417	1
CC12D	Control	1	3	Clostridiaceae	0.001049593	64
CC13A	Treatment	2	0	Clostridiaceae	0.005263158	14
CC13B	Treatment	2	1	Clostridiaceae	0.00682095	286
CC13C	Treatment	2	2	Clostridiaceae	0.02087859	185
CC13D	Treatment	2	3	Clostridiaceae	0.020057914	9
CC14A	Treatment	2	0	Clostridiaceae	0.001498288	225
CC14B	Treatment	2	1	Clostridiaceae	0.000418866	1137
CC14C	Treatment	2	2	Clostridiaceae	0.00449248	256
CC14D	Treatment	2	3	Clostridiaceae	0.002269345	12
CC15A	Treatment	2	0	Clostridiaceae	0.000124363	2
CC15B	Treatment	2	1	Clostridiaceae	0.000280314	197
CC15C	Treatment	2	2	Clostridiaceae	0.001513602	607
CC15D	Treatment	2	3	Clostridiaceae	0.000968992	137
CC16A	Treatment	2	0	Clostridiaceae	0.003245831	132
CC16B	Treatment	2	1	Clostridiaceae	0.001654026	330
CC16C	Treatment	2	2	Clostridiaceae	0.001105583	69
CC16D	Treatment	2	3	Clostridiaceae	0.001127497	2529
CC17A	Treatment	2	0	Clostridiaceae	0.000957229	316
CC17B	Treatment	2	1	Clostridiaceae	0.001064018	4
CC17C	Treatment	2	2	Clostridiaceae	0.001722526	19
CC17D	Treatment	2	3	Clostridiaceae	0.001007326	1
CC18A	Treatment	2	0	Clostridiaceae	0.00065445	1099
CC18C	Treatment	2	2	Clostridiaceae	0.000799459	393
CC18D	Treatment	2	3	Clostridiaceae	0.001652061	387
CC19A	Treatment	2	0	Clostridiaceae	0.001446262	35
CC19B	Treatment	2	1	Clostridiaceae	0.000789153	390
CC19C	Treatment	2	2	Clostridiaceae	0.001470422	10
CC19D	Treatment	2	3	Clostridiaceae	0.001516041	6
CC20A	Treatment	2	0	Clostridiaceae	0.001668601	36
CC20B	Treatment	2	1	Clostridiaceae	0.001166861	154
CC20C	Treatment	2	2	Clostridiaceae	0.001717967	250
CC20D	Treatment	2	3	Clostridiaceae	0.001403357	375
CC21A	Treatment	2	0	Clostridiaceae	0.000632283	376
CC21B	Treatment	2	1	Clostridiaceae	0.000648012	3
CC21C	Treatment	2	2	Clostridiaceae	0.000414136	5
CC21D	Treatment	2	3	Clostridiaceae	0.000411494	14
CC22A	Treatment	2	0	Clostridiaceae	0.011585497	626
CC22B	Treatment	2	1	Clostridiaceae	0.016844428	2
CC22C	Treatment	2	2	Clostridiaceae	0.082932461	2
CC22D	Treatment	2	3	Clostridiaceae	0.074473438	11
CC23A	Treatment	2	0	Clostridiaceae	0.001822917	7
CC23B	Treatment	2	1	Clostridiaceae	0.002779041	410
CC23C	Treatment	2	2	Clostridiaceae	0.009410802	7
